,country,2013,2014,2015,2016,2017,2018,2019,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4,Density (persons per sq. km.),Area (sq. km.),Population,Gdp,V2Peedueq Osp,V2X Feduni,V2Xdd Dd,cluster
1049,Fiji,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,2,3,3,3,1,1,1,2,1,1,2,3,3,2,2,49.4,18274,903207,4856963230.0,2.5810000000000004,0.0,0.006999999999999999,0
256,Finland,0,0,0,0,0,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.2,303815,5537364,276000000000.0,3.4330000000000003,0.496,0.015,0
454,Finland,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.2,303815,5518371,255000000000.0,3.8139999999999996,0.496,0.015,0
652,Finland,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.1,303815,5498211,241000000000.0,3.8169999999999997,0.486,0.015,0
851,Finland,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.0,303815,5476922,234000000000.0,3.8169999999999997,0.486,0.015,0
1050,Finland,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18.0,303815,5454355,274000000000.0,3.833,0.483,0.015,0
1249,Finland,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17.9,303815,5430353,271000000000.0,3.833,0.483,0.015,0
257,France,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,4,4,3,3,105.2,640427,67364357,2790000000000.0,3.522,0.97,0.0,2
455,France,0,0,0,0,1,0,0,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,4,4,3,3,104.8,640427,67106161,2600000000000.0,3.535,0.972,0.0,2
653,France,0,0,0,1,0,0,0,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,4,4,4,3,104.4,640427,66836154,2470000000000.0,3.543,0.9690000000000001,0.0,2
852,France,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,103.9,640427,66553766,2440000000000.0,3.543,0.9670000000000001,0.0,2
1051,France,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,103.5,640427,66259012,2850000000000.0,3.543,0.9670000000000001,0.0,2
1250,France,1,0,0,0,0,0,0,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,103.0,640427,65951611,2810000000000.0,3.543,0.966,0.0,2
258,Gabon,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,3,2,2,1,1,1,0,1,1,1,2,1,1,1,8.2,257667,2119036,16862282414.0,2.4819999999999998,0.804,0.0,0
456,Gabon,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,3,3,2,1,1,2,1,2,2,1,2,1,1,1,8.0,257667,2060381,14929488771.0,2.4819999999999998,0.8140000000000001,0.0,0
654,Gabon,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,2,2,1,2,1,1,1,7.8,257667,2000048,14023890620.0,2.7680000000000002,0.6659999999999999,0.0,0
853,Gabon,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,2,2,1,2,1,1,1,7.5,257667,1937962,14383107714.0,2.7680000000000002,0.6659999999999999,0.0,0
1052,Gabon,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,2,2,1,2,1,1,1,7.3,257667,1874487,18203968002.0,2.7680000000000002,0.6659999999999999,0.0,0
1251,Gabon,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,1,2,2,1,2,1,1,1,7.0,257667,1809004,17595745653.0,2.7680000000000002,0.6659999999999999,0.0,0
62,Georgia,0,0,0,0,0,0,1,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,2,2,2,2,2,4,3,3,2,70.7,69700,4927349,17743195770.0,3.195,0.7390000000000001,0.0,0
260,Georgia,0,0,0,0,0,1,0,3,3,3,3,3,2,2,2,2,3,2,2,4,3,3,3,2,2,2,2,2,3,3,3,2,70.7,69700,4926087,17599700091.0,3.181,0.768,0.0,0
458,Georgia,0,0,0,0,1,0,0,3,3,3,3,3,3,2,2,2,3,2,2,4,3,3,3,2,2,2,2,2,3,2,3,2,70.7,69700,4926330,16242916916.0,3.306,0.71,0.0,0
656,Georgia,0,0,0,1,0,0,0,3,3,3,3,3,3,2,3,2,2,2,2,4,3,3,3,2,2,2,2,2,3,2,3,2,70.7,69700,4928052,15141758567.0,3.3089999999999997,0.6920000000000001,0.0,0
855,Georgia,0,0,1,0,0,0,0,3,3,3,3,3,2,2,3,2,2,2,2,4,4,3,3,2,2,2,2,2,3,2,3,2,70.7,69700,4931226,14953950557.0,2.844,0.65,0.0,0
1054,Georgia,0,1,0,0,0,0,0,3,3,2,3,3,2,2,3,2,2,2,2,4,4,3,3,2,2,2,2,2,3,2,3,2,70.8,69700,4935880,17627003455.0,2.852,0.677,0.0,0
261,Germany,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,230.8,348672,80457737,3950000000000.0,3.477,0.9890000000000001,0.0,2
459,Germany,0,0,0,0,1,0,0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,231.1,348672,80594017,3670000000000.0,3.4589999999999996,0.977,0.0,2
657,Germany,0,0,0,1,0,0,0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,231.5,348672,80722792,3470000000000.0,3.451,0.976,0.0,2
856,Germany,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,231.9,348672,80854408,3360000000000.0,3.451,0.976,0.0,2
1055,Germany,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,232.3,348672,80996685,3880000000000.0,3.4730000000000003,0.977,0.0,2
